date_debut_mesure,code_commune_insee,nom_commune,x,y,hauteur_moyenne,hauteur_actuelle
20/12/2012,27439,Normanville,1.18036452185483,49.0702003541626,,
14/02/2013,78517,Rambouillet,1.86788178704147,48.6617816915212,,
26/02/2013,77416,Saint-Just-en-Brie,3.116323940607195,48.61311616650774,,
08/03/2013,26212,Montvendre,5.0299839128782,44.8567193005776,,
08/03/2013,26305,Saint-Gervais-sur-Roubion,4.91002182837202,44.5876122558413,,
12/03/2013,26087,Chatillon-Saint-Jean,5.11289407223974,45.1095855408309,,
12/03/2013,2B342,Ventiseri,9.33884738304288,41.9573732539039,,
28/03/2013,26191,Montboucher-sur-Jabron,4.78824008964581,44.5472893183592,,
10/04/2013,33533,Toulenne,-0.283241490287159,44.5750420764471,,
02/05/2013,13035,Eyguieres,5.0179557740968,43.6781785247646,,
02/05/2013,13103,Salon-de-Provence,5.08276589281963,43.6730465382645,,
30/07/2013,9265,Saint-Jean-du-Falga,1.627786377426444,43.08697874375157,,
05/08/2013,17163,Fontaines-dOzillac,-0.3797503660578816,45.385681285613295,,
01/09/2013,49099,Cholet,-0.8796293918456486,47.059019177278294,,
01/12/2013,49163,Jarze Villages,-0.23311110624408438,47.55563759414094,,
03/12/2013,36070,eguzon-Chantome,1.56136211300561,46.4472736136952,,
09/01/2014,45206,Migneres,2.624951573762177,48.04651787080907,,
27/01/2014,78417,Montchauvet,1.629587545615815,48.89149726522281,,
28/01/2014,44025,Campbon,-1.96203013425617,47.4446725372137,,
01/04/2014,49259,Rochefort-sur-Loire,-0.6559854693718944,47.356947606116265,,
13/05/2014,60308,Hemevillers,2.67588397222586,49.4622931986333,,
15/05/2014,48150,Saint-Flour-de-Mercoire,3.8254511058073626,44.69558047255687,,
16/05/2014,48192,Trelans,3.092016362600514,44.49960169131234,,
27/05/2014,85127,Longeville-sur-Mer,-1.47910464268063,46.419110972888,,
25/06/2014,59350,Lille,3.05453662530955,50.6098351144118,,
01/10/2014,67179,Haegen,7.31197075406296,48.7143888639368,,
